Pub ID	TAB	Measure	Name	Value	Unit
18331	TAB_003000	FattyAcid	18:1-delta-6c	43.30     	GLC-Area-%
18332	TAB_003001	FattyAcid	18:1-delta-6c	39.10     	GLC-Area-%
18333	TAB_003002	FattyAcid	18:1-delta-6c	39.90     	GLC-Area-%
18334	TAB_003004	FattyAcid	18:1-delta-6c	40.80     	GLC-Area-%
18335	TAB_003006	FattyAcid	18:1-delta-6c	42.10     	GLC-Area-%
23631	TAB_003007	FattyAcid	18:1-delta-6c	44.00     	GLC-Area-%
18336	TAB_003010	FattyAcid	18:1-delta-6c	64.80     	GLC-Area-%
21389	TAB_010041	FattyAcid	18:3-delta-9c,11t,13t	9.70      	GLC-Area-%
21390	TAB_010042	FattyAcid	18:3-delta-9c,11t,13t	9.70      	GLC-Area-%
18337	TAB_003022	FattyAcid	18:1-delta-6c	68.90     	GLC-Area-%
12432	TAB_003023	FattyAcid	18:1-delta-6c	68.90     	GLC-Area-%
19075	TAB_003024	FattyAcid	18:1-delta-6c	50.00     	GLC-Area-%
18338	TAB_003025	FattyAcid	18:1-delta-6c	48.80     	GLC-Area-%
10593	TAB_014147	FattyAcid	18:1-delta-6c	82.80     	GLC area%
18339	TAB_003026	FattyAcid	18:1-delta-6c	70.20     	GLC-Area-%
10594	TAB_014148	FattyAcid	18:1-delta-6c	73.00     	GLC area%
12433	TAB_003027	FattyAcid	18:1-delta-6c	70.20     	GLC-Area-%
23632	TAB_003028	FattyAcid	18:1-delta-6c	41.00     	GLC-Area-%
10595	TAB_014149	FattyAcid	18:1-delta-6c	72.30     	GLC area%
18340	TAB_003029	FattyAcid	18:1-delta-6c	66.80     	GLC-Area-%
10596	TAB_014150	FattyAcid	18:1-delta-6c	73.30     	GLC area%
10597	TAB_014151	FattyAcid	18:1-delta-6c	69.70     	GLC area%
18341	TAB_003030	FattyAcid	18:1-delta-6c	55.70     	GLC-Area-%
10598	TAB_014152	FattyAcid	18:1-delta-6c	73.50     	GLC area%
10599	TAB_014153	FattyAcid	18:1-delta-6c	74.80     	GLC area%
22124	TAB_000028	FattyAcid	18:3-delta-9c,11t,13t	67.70     	GLC-Area-%
16350	TAB_003038	FattyAcid	18:1-delta-6c	51.00     	GLC-Area-%
18342	TAB_003039	FattyAcid	18:1-delta-6c	65.70     	GLC-Area-%
12252	TAB_003040	FattyAcid	18:1-delta-6c	51.00     	GLC-Area-%
14546	TAB_003041	FattyAcid	18:1-delta-6c	41.10     	GLC-Area-%
23633	TAB_003043	FattyAcid	18:1-delta-6c	51.00     	GLC-Area-%
18343	TAB_003044	FattyAcid	18:1-delta-6c	86.50     	GLC-Area-%
18344	TAB_003045	FattyAcid	18:1-delta-6c	66.70     	GLC-Area-%
21410	TAB_014231	FattyAcid	18:3-delta-9c,11t,13t	10.48     	GLC area%
18345	TAB_003065	FattyAcid	18:1-delta-6c	39.50     	GLC-Area-%
18346	TAB_003066	FattyAcid	18:1-delta-6c	70.00     	GLC-Area-%
18347	TAB_003067	FattyAcid	18:1-delta-6c	45.40     	GLC-Area-%
18348	TAB_003068	FattyAcid	18:1-delta-6c	71.10     	GLC-Area-%
14786	TAB_003071	FattyAcid	18:1-delta-6c	42.98     	GLC-Area-%
18349	TAB_003103	FattyAcid	18:1-delta-6c	72.40     	GLC-Area-%
12109	TAB_002132	FattyAcid	18:3-delta-9c,11t,13t	67.90     	GLC-Area-%
21947	TAB_000082	FattyAcid	18:3-delta-9c,11t,13t	7.30      	GLC-Area-%
10046	TAB_002181	FattyAcid	18:3-delta-9c,11t,13t	31.00     	GLC-Area-%
22766	TAB_001083	FattyAcid	18:1-delta-6c	29.80     	GLC-Area-%
22961	TAB_002194	FattyAcid	18:1-delta-6c	83.80     	GLC-Area-%
22962	TAB_002195	FattyAcid	18:1-delta-6c	69.20     	GLC-Area-%
18318	TAB_003173	FattyAcid	18:1-delta-6c	63.30     	GLC-Area-%
18319	TAB_003184	FattyAcid	18:1-delta-6c	56.90     	GLC-Area-%
18320	TAB_003186	FattyAcid	18:1-delta-6c	33.50     	GLC-Area-%
21576	TAB_002248	FattyAcid	18:1-delta-6c	76.60     	GLC area%
18350	TAB_003214	FattyAcid	18:1-delta-6c	33.30     	GLC-Area-%
22655	TAB_000176	FattyAcid	18:1-delta-6c	66.60     	GLC-Area-%
14924	TAB_000177	FattyAcid	18:1-delta-6c	39.90     	GLC-Area-%
18461	TAB_004004	FattyAcid	18:1-delta-6c	39.30     	GLC-Area-%
18462	TAB_004005	FattyAcid	18:1-delta-6c	58.10     	GLC-Area-%
18463	TAB_004006	FattyAcid	18:1-delta-6c	52.90     	GLC-Area-%
18452	TAB_003314	FattyAcid	18:1-delta-6c	48.70     	GLC-Area-%
18454	TAB_003325	FattyAcid	18:1-delta-6c	72.00     	GLC-Area-%
18455	TAB_003326	FattyAcid	18:1-delta-6c	81.10     	GLC-Area-%
22147	TAB_001226	FattyAcid	18:3-delta-9c,11t,13t	56.20     	GLC-Area-%
22931	TAB_002336	FattyAcid	18:3-delta-9c,11t,13t	7.50      	GLC area%
18464	TAB_004099	FattyAcid	18:1-delta-6c	58.20     	GLC-Area-%
11767	TAB_010726	FattyAcid	18:1-delta-6c	38.50     	
18120	TAB_013767	FattyAcid	18:3-delta-9c,11t,13t	14.00     	GLC-Area-%
19682	TAB_013768	FattyAcid	18:3-delta-9c,11t,13t	17.00     	GLC-Area-%
19843	TAB_013770	FattyAcid	8-OH-18:3-delta-10a,12a,17	3.70      	
18465	TAB_004185	FattyAcid	18:1-delta-6c	56.30     	GLC-Area-%
19072	TAB_005025	FattyAcid	18:1-delta-6c	58.70     	GLC-Area-%
19330	TAB_005026	FattyAcid	18:1-delta-6c	42.30     	GLC-Area-%
19331	TAB_005027	FattyAcid	18:1-delta-6c	82.40     	GLC-Area-%
19332	TAB_005028	FattyAcid	18:1-delta-6c	0.00      	GLC-Area-%
18501	TAB_005030	FattyAcid	18:1-delta-6c	1.70      	GLC-Area-%
23668	TAB_005031	FattyAcid	18:1-delta-6c	62.00     	GLC-Area-%
18502	TAB_005032	FattyAcid	18:1-delta-6c	75.90     	GLC-Area-%
18503	TAB_005033	FattyAcid	18:1-delta-6c	1.50      	GLC-Area-%
10193	TAB_014537	FattyAcid	18:1-delta-6c	18.10     	GLC-Area-%
10194	TAB_014538	FattyAcid	18:1-delta-6c	16.70     	GLC-Area-%
18936	TAB_004213	FattyAcid	18:1-delta-6c	27.00     	GLC-Area-%
10195	TAB_014541	FattyAcid	18:1-delta-6c	22.20     	GLC-Area-%
23294	TAB_013855	FattyAcid	18:1-delta-6c	0.50      	GLC area%
18938	TAB_004215	FattyAcid	18:1-delta-6c	74.10     	GLC-Area-%
18939	TAB_004216	FattyAcid	18:1-delta-6c	79.80     	GLC-Area-%
10196	TAB_014543	FattyAcid	18:1-delta-6c	22.90     	GLC-Area-%
18505	TAB_005082	FattyAcid	18:1-delta-6c	1.20      	GLC-Area-%
18940	TAB_004217	FattyAcid	18:1-delta-6c	75.10     	GLC-Area-%
12185	TAB_004218	FattyAcid	18:1-delta-6c	40.85     	GLC-Area-%
18506	TAB_005083	FattyAcid	18:1-delta-6c	9.20      	GLC-Area-%
22365	TAB_014544	FattyAcid	18:1-delta-6c	28.30     	GLC-Area-%
21134	TAB_004219	FattyAcid	18:1-delta-6c	38.50     	GLC-Area-%
18507	TAB_005084	FattyAcid	18:1-delta-6c	66.60     	GLC-Area-%
18508	TAB_005085	FattyAcid	18:1-delta-6c	34.90     	GLC-Area-%
10197	TAB_014548	FattyAcid	18:1-delta-6c	48.40     	GLC-Area-%
18509	TAB_005086	FattyAcid	18:1-delta-6c	57.60     	GLC-Area-%
18510	TAB_005087	FattyAcid	18:1-delta-6c	52.30     	GLC-Area-%
10198	TAB_014549	FattyAcid	18:1-delta-6c	43.20     	GLC-Area-%
18511	TAB_005088	FattyAcid	18:1-delta-6c	56.30     	GLC-Area-%
18869	TAB_005089	FattyAcid	18:1-delta-6c	19.00     	GLC-Area-%
10310	TAB_014550	FattyAcid	18:1-delta-6c	34.40     	GLC-Area-%
23669	TAB_005090	FattyAcid	18:1-delta-6c	47.40     	GLC-Area-%
18512	TAB_005091	FattyAcid	18:1-delta-6c	55.60     	GLC-Area-%
15137	TAB_000291	FattyAcid	18:1-delta-6c	29.90     	GLC-Area-%
10199	TAB_014551	FattyAcid	18:1-delta-6c	13.20     	GLC-Area-%
18513	TAB_005092	FattyAcid	18:1-delta-6c	51.60     	GLC-Area-%
22746	TAB_000293	FattyAcid	18:1-delta-6c	32.10     	GLC-Area-%
18518	TAB_003487	FattyAcid	18:1-delta-6c	73.20     	GLC-Area-%
18457	TAB_003488	FattyAcid	18:1-delta-6c	56.00     	GLC-Area-%
18458	TAB_003489	FattyAcid	18:1-delta-6c	44.60     	GLC-Area-%
18519	TAB_003492	FattyAcid	18:1-delta-6c	50.00     	GLC-Area-%
18520	TAB_003493	FattyAcid	18:1-delta-6c	57.20     	GLC-Area-%
18521	TAB_003494	FattyAcid	18:1-delta-6c	41.60     	GLC-Area-%
18522	TAB_003495	FattyAcid	18:1-delta-6c	48.20     	GLC-Area-%
18523	TAB_003496	FattyAcid	18:1-delta-6c	59.70     	GLC-Area-%
18524	TAB_003497	FattyAcid	18:1-delta-6c	63.50     	GLC-Area-%
18525	TAB_003498	FattyAcid	18:1-delta-6c	54.50     	GLC-Area-%
18514	TAB_005127	FattyAcid	18:1-delta-6c	49.00     	GLC-Area-%
18515	TAB_005128	FattyAcid	18:1-delta-6c	54.40     	GLC-Area-%
18516	TAB_005129	FattyAcid	18:1-delta-6c	6.50      	GLC-Area-%
18517	TAB_005130	FattyAcid	18:1-delta-6c	66.00     	GLC-Area-%
18545	TAB_006028	FattyAcid	18:1-delta-6c	73.20     	GLC-Area-%
18546	TAB_006031	FattyAcid	18:1-delta-6c	1.00      	GLC-Area-%
22792	TAB_002424	FattyAcid	18:1-delta-6c	46.80     	GLC-Area-%
18351	TAB_005182	FattyAcid	18:1-delta-6c	73.60     	GLC-Area-%
18400	TAB_007032	FattyAcid	18:1-delta-6c	53.80     	GLC-Area-%
23020	TAB_000382	FattyAcid	18:1-delta-6c	35.60     	GLC-Area-%
18401	TAB_007053	FattyAcid	18:1-delta-6c	39.60     	GLC-Area-%
18402	TAB_007067	FattyAcid	18:1-delta-6c	52.30     	GLC-Area-%
18403	TAB_007070	FattyAcid	18:1-delta-6c	52.70     	GLC-Area-%
18404	TAB_007071	FattyAcid	18:1-delta-6c	53.60     	GLC-Area-%
18405	TAB_007072	FattyAcid	18:1-delta-6c	59.20     	GLC-Area-%
18406	TAB_007073	FattyAcid	18:1-delta-6c	50.80     	GLC-Area-%
18407	TAB_007074	FattyAcid	18:1-delta-6c	52.00     	GLC-Area-%
18408	TAB_007075	FattyAcid	18:1-delta-6c	51.80     	GLC-Area-%
18409	TAB_007076	FattyAcid	18:1-delta-6c	61.60     	GLC-Area-%
19971	TAB_006156	FattyAcid	8-OH-18:3-delta-10a,12a,17	3.70      	
15631	TAB_006195	FattyAcid	18:3-delta-9c,11t,13t	69.00     	Mol%
22904	TAB_002468	FattyAcid	18:1-delta-6c	16.70     	GLC-Area-%
22907	TAB_002471	FattyAcid	18:1-delta-6c	22.90     	GLC-Area-%
12157	TAB_006213	FattyAcid	18:3-delta-9c,11t,13t	35.30     	GLC-Area-%
22908	TAB_002472	FattyAcid	18:1-delta-6c	28.30     	GLC-Area-%
10814	TAB_006227	FattyAcid	18:3-delta-9c,11t,13t	17.00     	weight-%
10815	TAB_006228	FattyAcid	18:3-delta-9c,11t,13t	14.00     	GLC-Area-%
10816	TAB_006229	FattyAcid	18:3-delta-9c,11t,13t	43.00     	GLC-Area-%
10817	TAB_006230	FattyAcid	18:3-delta-9c,11t,13t	63.70     	GLC-Area-%
10818	TAB_006231	FattyAcid	18:3-delta-9c,11t,13t	30.00     	GLC-Area-%
10819	TAB_006232	FattyAcid	18:3-delta-9c,11t,13t	22.00     	GLC-Area-%
10820	TAB_006233	FattyAcid	18:3-delta-9c,11t,13t	23.00     	GLC-Area-%
10821	TAB_006234	FattyAcid	18:3-delta-9c,11t,13t	35.30     	GLC-Area-%
10822	TAB_006235	FattyAcid	18:3-delta-9c,11t,13t	50.40     	GLC-Area-%
10263	TAB_000473	FattyAcid	18:1-delta-6c	37.20     	GLC-Area-%
22747	TAB_000474	FattyAcid	18:1-delta-6c	32.70     	GLC-Area-%
18358	TAB_005334	FattyAcid	18:1-delta-6c	63.20     	GLC-Area-%
19592	TAB_014746	FattyAcid	18:1-delta-6c	70.30     	GLC-Area-%
22125	TAB_001551	FattyAcid	18:3-delta-9c,11t,13t	10.60     	GLC-Area-%
19593	TAB_014747	FattyAcid	18:1-delta-6c	78.76     	GLC-Area-%
18469	TAB_004481	FattyAcid	18:1-delta-6c	75.70     	GLC-Area-%
18470	TAB_004482	FattyAcid	18:1-delta-6c	75.10     	GLC-Area-%
18471	TAB_004485	FattyAcid	18:1-delta-6c	69.80     	GLC-Area-%
18472	TAB_004486	FattyAcid	18:1-delta-6c	72.50     	GLC-Area-%
18540	TAB_003770	FattyAcid	18:1-delta-6c	52.30     	GLC-Area-%
20385	TAB_004488	FattyAcid	18:1-delta-6c	65.50     	GLC-Area-%
19076	TAB_003771	FattyAcid	18:1-delta-6c	47.00     	GLC-Area-%
18620	TAB_003772	FattyAcid	18:1-delta-6c	35.40     	GLC-Area-%
18473	TAB_004489	FattyAcid	18:1-delta-6c	74.30     	GLC-Area-%
22126	TAB_001575	FattyAcid	18:3-delta-9c,11t,13t	3.20      	GLC-Area-%
18474	TAB_004490	FattyAcid	18:1-delta-6c	65.00     	GLC-Area-%
