No.,TAB ID,Plant,Family,Authors,Year,Journal
1,TAB_008941,Taraktogenos kurzii,FLACOURTIACEAE,,1949,", Page(s) 651-652"
2,TAB_008202,Virola surinamensis,MYRISTICACEAE,,1950,", Page(s) 386-388, 406"
3,TAB_007382,Schleichera,SAPINDACEAE,,1952,
4,TAB_008024,Ulmus americana,ULMACEAE,,1954,", Page(s) 386"
5,TAB_006911,Picramnia spp.,SIMAROUBACEAE,,1956,
6,TAB_008495,Raphanus sativus,CRUCIFERAE,,1956,", Page(s) 224"
7,TAB_008846,Elaeis melanococca,PALMAE,,1957,", Page(s) 1-764"
8,TAB_012208,Eriodendron occidentale,BOMBACACEAE,,1957,", Page(s) 1-764"
9,TAB_013833,Acrocomia vinifera,PALMAE,,1957,
10,TAB_013834,Aegiphila obducta,VERBENACEAE,,1957,
11,TAB_013835,Aesculus chinensis,HIPPOCASTANACEAE,,1957,
12,TAB_013836,Aglaia teysmanniana,MELIACEAE,,1957,
13,TAB_013837,Agonandra brasiliensis,OPILIACEAE,,1957,
14,TAB_013838,Akebia quinata,LARDIZABALACEAE,,1957,
15,TAB_013839,Aleurites cordata,EUPHORBIACEAE,,1957,
16,TAB_013840,Allanblackia stuhlmanii,GUTTIFERAE,,1957,
17,TAB_013841,Ampelopsis hederacea,VITACEAE,,1957,
18,TAB_013842,Ampelosicyos scandens,CUCURBITACEAE,,1957,
19,TAB_013843,Tetracarpidium conophorum,EUPHORBIACEAE,,1957,
20,TAB_013908,Bactris acanthocarpa,PALMAE,,1957,", Page(s) 1-763"
21,TAB_013909,Bactris speciosa,PALMAE,,1957,", Page(s) 1-763"
22,TAB_013910,Baillonella djave,SAPOTACEAE,,1957,", Page(s) 1-763"
23,TAB_013911,Baillonella obovata,SAPOTACEAE,,1957,", Page(s) 1-763"
24,TAB_013912,Balanites maughamii,BALANITACEAE,,1957,", Page(s) 1-763"
25,TAB_013913,Balanites mayubensis,BALANITACEAE,,1957,", Page(s) 1-763"
26,TAB_013914,Balanites tieghemi,BALANITACEAE,,1957,", Page(s) 1-763"
27,TAB_013915,Barbarea praecox,CRUCIFERAE,,1957,", Page(s) 1-763"
28,TAB_013916,Barringtonia racemosa,LECYTHIDACEAE,,1957,", Page(s) 1-763"
29,TAB_013917,Barringtonia speciosa,LECYTHIDACEAE,,1957,", Page(s) 1-763"
30,TAB_013918,Basiloxylon brasiliense,STERCULIACEAE,,1957,", Page(s) 1-763"
31,TAB_013919,Bassia butyracea,SAPOTACEAE,,1957,", Page(s) 1-763"
32,TAB_013920,Bassia latifolia,SAPOTACEAE,,1957,", Page(s) 1-763"
33,TAB_013922,Bassia longifolia,SAPOTACEAE,,1957,", Page(s) 1-763"
34,TAB_013923,Bassia mottleyana,SAPOTACEAE,,1957,", Page(s) 1-763"
35,TAB_013924,Bassia pasquieri,SAPOTACEAE,,1957,", Page(s) 1-763"
36,TAB_013925,Bauhinia candida,LEGUMINOSAE-CAESALPINIOIDEAE,,1957,", Page(s) 1-763"
37,TAB_013926,Benincasa cerifera,CUCURBITACEAE,,1957,", Page(s) 1-763"
38,TAB_013927,Berberis vulgaris,BERBERIDACEAE,,1957,", Page(s) 1-763"
39,TAB_013928,Berrya ammonilla,TILIACEAE,,1957,", Page(s) 1-763"
40,TAB_013929,Bertholletia nobilis,LECYTHIDACEAE,,1957,", Page(s) 1-763"
41,TAB_013942,Betula alba,BETULACEAE,,1957,", Page(s) 1-763"
42,TAB_013943,Betula alba,BETULACEAE,,1957,", Page(s) 1-763"
43,TAB_013944,Blighia laurentii,SAPINDACEAE,,1957,", Page(s) 1-763"
44,TAB_013945,Blighia laurentii,SAPINDACEAE,,1957,", Page(s) 1-763"
45,TAB_013946,Bombax angulicarpum,BOMBACACEAE,,1957,", Page(s) 1-763"
46,TAB_013947,Bombax buonopozense,BOMBACACEAE,,1957,", Page(s) 1-763"
47,TAB_013948,Bombax crenulatum,BOMBACACEAE,,1957,", Page(s) 1-763"
48,TAB_013949,Bombax cyatophorum,BOMBACACEAE,,1957,", Page(s) 1-763"
49,TAB_013950,Bombax globosum,BOMBACACEAE,,1957,", Page(s) 1-763"
50,TAB_013951,Bombax quinatum,BOMBACACEAE,,1957,", Page(s) 1-763"
51,TAB_013952,Boscia octandra,CAPPARACEAE,,1957,", Page(s) 1-763"
52,TAB_013953,Brassica dichotoma,CRUCIFERAE,,1957,", Page(s) 1-763"
53,TAB_013954,Brassica oleracea var. ...,CRUCIFERAE,,1957,", Page(s) 1-763"
54,TAB_013955,Brochoneura vouri,MYRISTICACEAE,,1957,", Page(s) 1-763"
55,TAB_013956,Brucea amarissima,SIMAROUBACEAE,,1957,", Page(s) 1-763"
56,TAB_013957,Brucea antidysenterica,SIMAROUBACEAE,,1957,", Page(s) 1-763"
57,TAB_013958,Brunfelsia ramosissima,SOLANACEAE,,1957,", Page(s) 1-763"
58,TAB_013959,Bryonia dioica,CUCURBITACEAE,,1957,", Page(s) 1-763"
59,TAB_013960,Caesalpinia separia,LEGUMINOSAE-CAESALPINIOIDEAE,,1957,", Page(s) 1-763"
60,TAB_013961,Buchnerodendron speciosum,FLACOURTIACEAE,,1957,", Page(s) 1-763"
61,TAB_013962,Bumelia obtusifolia,SAPOTACEAE,,1957,", Page(s) 1-763"
62,TAB_013963,Calophyllum calaba,GUTTIFERAE,,1957,", Page(s) 1-763"
63,TAB_013964,Calopogonium mucunoides,LEGUMINOSAE-PAPILIONOIDEAE,,1957,", Page(s) 1-763"
64,TAB_013965,Calophyllum tomentosum,GUTTIFERAE,,1957,", Page(s) 1-763"
65,TAB_013966,Calophyllum wightianum,GUTTIFERAE,,1957,", Page(s) 1-763"
66,TAB_013967,Carapa grandiflora,MELIACEAE,,1957,", Page(s) 1-763"
67,TAB_013969,Calycanthus glaucus,CALYCANTHACEAE,,1957,", Page(s) 1-763"
68,TAB_013970,Camellia thea,THEACEAE,,1957,", Page(s) 1-763"
69,TAB_013971,Canarium colophania,BURSERACEAE,,1957,", Page(s) 1-763"
70,TAB_013972,Canarium decumanum,BURSERACEAE,,1957,", Page(s) 1-763"
71,TAB_013973,Carapa microcarpa,MELIACEAE,,1957,", Page(s) 1-763"
72,TAB_013974,Carapa moluccensis,MELIACEAE,,1957,", Page(s) 1-763"
73,TAB_013975,Cardamomum minus,SCITAMINEAE,,1957,", Page(s) 1-763"
74,TAB_013976,Carya alba,JUGLANDACEAE,,1957,", Page(s) 1-763"
75,TAB_013977,Carya tonkinensis,JUGLANDACEAE,,1957,", Page(s) 1-763"
76,TAB_013978,Caryocar butyrosum,CARYOCARACEAE,,1957,", Page(s) 1-763"
77,TAB_013979,Caryocar nuciferum,CARYOCARACEAE,,1957,", Page(s) 1-763"
78,TAB_013980,Caryocar tomentosum,CARYOCARACEAE,,1957,", Page(s) 1-763"
79,TAB_013981,Caryodendron orinocense,EUPHORBIACEAE,,1957,", Page(s) 1-763"
80,TAB_013982,Cassia arereh,LEGUMINOSAE-CAESALPINIOIDEAE,,1957,", Page(s) 1-763"
81,TAB_013983,Castanea vulgaris,FAGACEAE,,1957,", Page(s) 1-763"
82,TAB_013984,Castilloa elastica,MORACEAE,,1957,", Page(s) 1-763"
83,TAB_013985,Cayaponia cabocla,CUCURBITACEAE,,1957,", Page(s) 1-763"
84,TAB_013986,Ceiba thonningii,BOMBACACEAE,,1957,", Page(s) 1-763"
85,TAB_013987,Celastrus senegalensis,CELASTRACEAE,,1957,", Page(s) 1-763"
86,TAB_013988,Cephalonema polyandrum,TILIACEAE,,1957,", Page(s) 1-763"
87,TAB_013989,Ceratotheca sesamoides,PEDALIACEAE,,1957,", Page(s) 1-763"
88,TAB_013990,Chisocheton cummingianus,MELIACEAE,,1957,", Page(s) 1-763"
89,TAB_013991,Chloroxylon swietenia,RUTACEAE,,1957,", Page(s) 1-763"
90,TAB_013992,Chorisia insignis,BOMBACACEAE,,1957,", Page(s) 1-763"
91,TAB_013993,Chrysophyllum adzope,SAPOTACEAE,,1957,", Page(s) 1-763"
92,TAB_013994,Chrysophyllum autranianum,SAPOTACEAE,,1957,", Page(s) 1-763"
93,TAB_013995,Cinnamomum glanduliferum,LAURACEAE,,1957,", Page(s) 1-763"
94,TAB_013996,Cinnamomum pedunculatum,LAURACEAE,,1957,", Page(s) 1-763"
95,TAB_013997,Citrullus naudinianus,CUCURBITACEAE,,1957,", Page(s) 1-763"
96,TAB_013998,Citrus nobilis,RUTACEAE,,1957,", Page(s) 1-763"
97,TAB_013999,Cleome gigantea,CAPPARACEAE,,1957,", Page(s) 1-763"
98,TAB_014000,Cochlospermum gossypium,COCHLOSPERMACEAE,,1957,", Page(s) 1-763"
99,TAB_014001,Cocos acrocomioides,PALMAE,,1957,", Page(s) 1-763"
100,TAB_014002,Cocos coronata,PALMAE,,1957,", Page(s) 1-763"
101,TAB_014003,Cocos pulposa,PALMAE,,1957,", Page(s) 1-763"
102,TAB_014004,Coelocaryum cuneatum,MYRISTICACEAE,,1957,", Page(s) 1-763"
103,TAB_014005,Colchicum autumnale,COLCHICACEAE,,1957,", Page(s) 1-763"
104,TAB_014006,Combretum butyrosum,COMBRETACEAE,,1957,", Page(s) 1-763"
105,TAB_014007,Combretum subumbellatum,COMBRETACEAE,,1957,", Page(s) 1-763"
