Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid	user_id
Leguminosae Pithecellobium flexicaule	Pithecellobium flexicaule		1	Synonym	Ebenopsis ebano	(Berland.) Barneby & J.W. Grimes	Fabaceae	tropicos	 		10002
Caprifoliace Abelia corymbosa	No suitable matches found.		0						 		11297
Malvaceae Abelmoschus esculentus	Abelmoschus esculentus		1	Accepted	Abelmoschus esculentus	(L.) Moench	Malvaceae	tropicos;usda	 		11298
Pinaceae Abies alba Mill.	Abies alba	Mill.	1	Accepted	Abies alba	Mill.	Pinaceae	tropicos;usda	 		11299
 Ailanthus glandulosa	Ailanthus glandulosa		0.9	Synonym	Ailanthus altissima var. altissima		Simaroubaceae	tropicos	 		11300
Labiatae Ajuga genevensis	Ajuga genevensis		1	Accepted	Ajuga genevensis	L.	Lamiaceae	tropicos;usda	 		11301
Morinda Abies pindrow	Morinda	L.	0.73	Accepted	Morinda	L.	Rubiaceae	tropicos	 		11302
Sterculiaceae Abroma Augustum L. F. Suppl.	Abroma	Jacq.	0.81	No opinion				tropicos	 		11303
Labiatae Ajuga reptans	Ajuga reptans		1	Accepted	Ajuga reptans	L.	Lamiaceae	tropicos;usda	 		11304
Malvaceae Abutilon avicennae Gortn.	Abutilon avicennae	Gaertn.	0.93	Synonym	Abutilon theophrasti	Medik.	Malvaceae	tropicos;usda	 		11305
Cornaceae Alangium lamarckii 	Alangium lamarckii		1	Synonym	Alangium salviifolium	(L. f.) Wangerin	Cornaceae	tropicos	 		11306
Malvaceae Abutilon theophrasti Medic.	Abutilon theophrasti	Medik.	0.94	Accepted	Abutilon theophrasti	Medik.	Malvaceae	tropicos;usda	 		11307
Leguminosae Albizia amara	Albizia amara		1	Accepted	Albizia amara	(Roxb.) Boivin	Fabaceae	tropicos	 		11308
Leguminosae Albizia harveyi	Albizia harveyi		1	No opinion				tropicos	 		11309
Leguminosae Acacia albida	Acacia albida		1	Accepted	Acacia albida	Delile	Fabaceae	tropicos	 		11310
Leguminosae Albizia procera	Albizia procera		1	Accepted	Albizia procera	(Roxb.) Benth.	Fabaceae	tropicos;usda	 		11311
Leguminosae Albizia versicolor	Albizia versicolor		1	Accepted	Albizia versicolor	Welw. ex Oliv.	Fabaceae	tropicos	 		11312
Leguminosae Acacia cymbispina	Acacia cymbispina		1	Synonym	Acacia cochliacantha	Humb. & Bonpl. ex Willd.	Fabaceae	tropicos	 		11313
Leguminosae Acacia dealbata	Acacia dealbata		1	Accepted	Acacia dealbata	Link	Fabaceae	tropicos;usda	 		11314
Leguminosae Acacia decurrens	Acacia decurrens		1	Accepted	Acacia decurrens	Willd.	Fabaceae	tropicos	 		11315
Alangiaceae Alangium javanicum	Alangium javanicum		1	Accepted	Alangium javanicum	(Blume) Wangerin	Cornaceae	tropicos	 		11316
Malvaceae Alcea rosea	Alcea rosea		1	Accepted	Alcea rosea	L.	Malvaceae	tropicos;usda	 		11317
Euphorbiaceae Aleurites fordii	Aleurites fordii		1	Synonym	Vernicia fordii	(Hemsl.) Airy Shaw	Euphorbiaceae	tropicos	 		11318
Leguminosae Acacia holosericea	Acacia holosericea		1	Accepted	Acacia holosericea	A. Cunn. ex G. Don	Fabaceae	tropicos;usda	 		11319
Leguminosae Acacia catechu Willd.	Acacia catechu	(L. f.) Willd.	0.92	Accepted	Acacia catechu	(L. f.) Willd.	Fabaceae	tropicos	 		11320
 Candlenut	No suitable matches found.		0						 		11321
Leguminosae Acacia horrida Willd.	Acacia horrida	(L.) Willd.	0.9	Accepted	Acacia horrida	(L.) Willd.	Fabaceae	tropicos;usda	 		11322
 Candlenut	No suitable matches found.		0						 		11323
Leguminosae Acacia latronum	Acacia latronum		1	No opinion				tropicos	 		11324
Leguminosae Acacia lenticularis	Acacia lenticularis		1	No opinion				tropicos	 [Ambiguous match] 		11325
Leguminosae Acacia leucophloea	Acacia leucophloea		1	Accepted	Acacia leucophloea	Willd.	Fabaceae	tropicos	 		11326
Alismataceae Alisma plantago-aquatica	Alisma plantago-aquatica		1	Accepted	Alisma plantago-aquatica	L.	Alismataceae	tropicos;usda	 		11327
Leguminosae Acacia longifolia Willd.	Acacia longifolia	(Andrews) Willd.	0.91	Accepted	Acacia longifolia	(Andrews) Willd.	Fabaceae	tropicos;usda	 		11328
 Alliaria petiolata	Alliaria petiolata		0.9	Accepted	Alliaria petiolata	(M. Bieb.) Cavara & Grande	Brassicaceae	tropicos;usda	 		11329
 Alliaria petiolata	Alliaria petiolata		0.9	Accepted	Alliaria petiolata	(M. Bieb.) Cavara & Grande	Brassicaceae	tropicos;usda	 		11330
Leguminosae Acacia macrothyrsa	Acacia macrothyrsa		1	No opinion				tropicos	 		11331
Leguminosae Acacia mcmurphy	Acacia macmurphyi		0.98	Accepted	Acacia macmurphyi	Wiggins	Fabaceae	tropicos	 		11332
Leguminosae Acacia modesta	Acacia modesta		1	Accepted	Acacia modesta	Wall.	Fabaceae	tropicos	 		11333
Leguminosae Acacia mollissima	Acacia mollissima		1	No opinion				tropicos	 		11334
Liliaceae Allium colorum	Allium coloratum		0.97	Illegitimate				tropicos	 		11335
