No.,TAB ID (SOFA),Plant,Family,,tropicos species,tropicos family
1,TYP5_05991,Valenzuela trinervis Bert.,SAPINDACEAE,1,Not found,Sapindaceae
2,TYP5_00398,Amsinckia lunaris,Boraginaceae,2,Amsinckia lunaris,Boraginaceae
3,TYP5_06886,Terminalia catappa,COMBRETACEAE,3,Terminalia catappa,Combretaceae
4,TYP5_00487,Apium graveolens,Umbelliferae,4,Apium graveolens,Apiaceae
5,Typ5_01309,Carum copticum,Umbelliferae,5,Carum copticum,Apiaceae
6,TYP5_07270,Polygala butyracea,POLYGALACEAE,6,Polygala butyracea,Polygalaceae
7,TYP5_07365,Pinus monophylla,PINACEAE,7,Pinus monophylla,Pinaceae
8,TYP5_00659,Attalea cohune,Arecaceae,8,Attalea cohune,Arecaceae
9,TYP5_06127,Virola surinamensis,MYRISTICACEAE,9,Virola surinamensis,Myristicaceae
10,TYP5_06278,Astrocaryum tucuma,PALMAE,10,Astrocaryum aculeatum,Arecaceae
11,TYP5_06203,Abelmoschus esculentus,MALVACEAE,11,Abelmoschus esculentus,Malvaceae
12,TYP5_06291,Avena sativa,GRAMINEAE,12,Avena sativa,Poaceae
13,TYP5_07618,Anacardium occidentale,ANACARDIACEAE,13,Anacardium occidentale,Anacardiaceae
14,TYP5_06285,Attalea cohune,PALMAE,14,Attalea cohune,Arecaceae
15,TYP5_07621,Anthrocaryon nannani,ANACARDIACEAE,15,Antrocaryon nannanii,Anacardiaceae
16,TYP5_08823,Hibiscus esculentus,MALVACEAE,16,Abelmoschus esculentus,Malvaceae
17,TYP5_00451,Angelica sylvestris,Umbelliferae,17,Angelica sylvestris,Apiaceae
18,TYP5_04206,Picramina sow,Simaroubaceae,18,Picramnia sp.,Asteraceae
19,Typ5_04411,Oncoba echinata,Flacourtiaceae,19,Oncoba echinata,Salicaceae
20,TYP5_06292,Avena sativa,GRAMINEAE,20,Avena sativa,Poaceae
21,TYP5_06293,Avena sativa,GRAMINEAE,21,Avena sativa,Poaceae
22,TYP1_01533,Agonandra brasiliensis,Olacaceae,22,Agonandra brasiliensis,Opiliaceae
23,TYP5_00485,Apium graveolens,Umbelliferae,23,Apium graveolens,Apiaceae
24,TYP5_01471,Chaerophyllum sativum,Umbelliferae,24,Chaerophyllum sativum,Apiaceae
25,TYP5_02481,Foeniculum capillaceum,Umbelliferae,25,Foeniculum sp.,Apiaceae
26,TYP5_02482,Foeniculum officinale,Umbelliferae,26,Foeniculum vulgare,Apiaceae
27,Typ5_04412,Oncoba echinata,Flacourtiaceae,27,Oncoba echinata,Salicaceae
28,Typ5_04413,Oncoba echinata,Flacourtiaceae,28,Oncoba echinata,Salicaceae
29,TYP5_04631,Pastinaca sativa,UMBELLIFERAE,29,Pastinaca sativa,Apiaceae
30,TYP5_05091,Salvia hispanica,LABIATAE,30,Salvia hispanica,Lamiaceae
31,TYP5_07622,Pistacia vera,ANACARDIACEAE,31,Pistacia vera,Anacardiaceae
32,TYP5_07625,Pistacia lentiscus,ANACARDIACEAE,32,Pistacia lentiscus,Anacardiaceae
33,TYP5_04693,Perilla frutescens,LABIATAE,33,Perilla frutescens,Lamiaceae
34,TYP5_06287,Attalea funifera,PALMAE,34,Attalea funifera,Arecaceae
35,TYP5_07003,Secale cereale,GRAMINEAE,35,Secale cereale,Poaceae
36,TYP5_07025,Shorea aptera,DIPTEROCARPACEAE,36,Shorea aptera,Dipterocarpaceae
37,TYP5_07310,Prunus cerasus,ROSACEAE,37,Cerasus vulgaris,Rosaceae
38,TYP5_06011,Vateria indica,DIPTEROCARPACEAE,38,Vateria indica,Dipterocarpaceae
39,TYP5_06887,Terminalia catappa,COMBRETACEAE,39,Terminalia catappa,Combretaceae
40,TYP5_07623,Pistacia vera,ANACARDIACEAE,40,Pistacia vera,Anacardiaceae
41,TYP5_05938,Triticum vulgare,GRAMINEAE,41,Triticum sp.,Poaceae
42,TYP5_06871,Taraktogenos kurzii,FLACOURTIACEAE,42,Hydnocarpus kurzii,Achariaceae
43,TYP5_07692,Celastrus scandens,CELASTRACEAE,43,Celastrus scandens,Celastraceae
44,TYP5_07693,Celastrus scandens,CELASTRACEAE,44,Celastrus scandens,Celastraceae
45,Typ5_04509,Panicum miliaceum,Gramineae,45,Panicum miliaceum,Poaceae
46,TYP5_04813,Picrasma quassioides,SIMAROUBACEAE,46,Picrasma quassioides,Simaroubaceae
47,TYP5_06279,Astrocaryum tucuma,PALMAE,47,Astrocaryum aculeatum,Arecaceae
48,TYP5_07366,Pinus monophylla,PINACEAE,48,Pinus monophylla,Pinaceae
49,TYP5_01736,Kaffeestrauch,Coffea arabica,49,Coffea arabica,Rubiaceae
50,TYP5_01737,Kaffeestrauch,Coffea arabica,50,Coffea arabica,Rubiaceae
51,TYP5_01921,Croton tiglium,Euphorbiaceae,51,Croton tiglium,Euphorbiaceae
52,Typ5_03759,Nephelium,Sapindaceae,52,Nephelium sp.,Sapindaceae
53,Typ5_04510,Panicum miliaceum,Gramineae,53,Panicum miliaceum,Poaceae
54,TYP5_00289,Aleurites spp.,Euphorbiaceae,54,Aleurites spp.,Euphorbiaceae
55,TYP5_06128,Virola surinamensis,MYRISTICACEAE,55,Virola surinamensis,Myristicaceae
56,TYP5_06294,Avena sativa,GRAMINEAE,56,Avena sativa,Poaceae
57,TYP5_07478,Cuscuta reflexa,CONVOLVULACEAE,57,Cuscuta reflexa,Convolvulaceae
58,TYP1_00568,Ruta graveolens L.,Rutaceae,58,Ruta graveolens,Rutaceae
59,TYP5_07054,Simmondsia californica,SIMMONDSIACEAE,59,Simmondsia californica,Simmondsiaceae
60,TYP5_08001,Ricinus zanzibarinus,EUPHORBIACEAE,60,Ricinus communis,Euphorbiaceae
61,TYP5_03223,,Lindera obtusiloba,61,Lindera obtusiloba,Lauraceae
62,TYP5_03224,,Lindera obtusiloba,62,Lindera obtusiloba,Lauraceae
63,TYP5_03245,,Lindera spp.,63,Lindera sp.,Lauraceae
64,TYP5_06001,Valerianella locusta,VALERIANACEAE,64,Valerianella locusta,Caprifoliaceae
65,TYP5_06411,Quercus spp.,FAGACEAE,65,Quercus spp.,Fagaceae
66,TYP5_06872,Taraktogenos kurzii,FLACOURTIACEAE,66,Hydnocarpus kurzii,Achariaceae
67,TYP5_07004,Secale cereale,GRAMINEAE,67,Secale cereale,Poaceae
68,TYP5_07026,Shorea aptera,DIPTEROCARPACEAE,68,Shorea aptera,Dipterocarpaceae
69,TYP5_00290,Aleurites spp.,Euphorbiaceae,69,Aleurites spp.,Euphorbiaceae
70,TYP5_00674,Attalea speciosa,Palmae,70,Attalea speciosa,Arecaceae
